log_id,student_id,session_date,attended
ATT-1B9EFBC6,STU-B1E84D,2025-10-20,1
ATT-CCC3B2E5,STU-B1E84D,2025-10-27,1
ATT-C8854DCF,STU-B1E84D,2025-11-03,1
ATT-665F5976,STU-B1E84D,2025-11-10,1
ATT-D01E7165,STU-B1E84D,2025-11-17,1
ATT-266DAEA7,STU-B1E84D,2025-11-24,1
ATT-C772DE9B,STU-B1E84D,2025-12-01,0
ATT-E523B66E,STU-B1E84D,2025-06-05,1
ATT-16AD805E,STU-B1E84D,2025-06-12,1
ATT-7760CA3E,STU-B1E84D,2025-06-19,1
ATT-1305A0B6,STU-B1E84D,2025-06-26,0
ATT-5FA61E7C,STU-B1E84D,2025-07-03,1
ATT-48E889D7,STU-B1E84D,2025-07-10,1
ATT-A235F48A,STU-B1E84D,2025-07-17,1
ATT-AE8474EC,STU-B1E84D,2025-07-24,1
ATT-D06ABE38,STU-B1E84D,2025-07-31,1
ATT-404998F4,STU-B1E84D,2025-08-07,1
ATT-AFDCF2CD,STU-B1E84D,2025-08-14,0
ATT-0D450B41,STU-B1E84D,2025-08-21,1
ATT-E668F144,STU-B1E84D,2025-08-28,1
ATT-18B265DB,STU-B1E84D,2025-09-04,0
ATT-8E7ACA81,STU-B1E84D,2025-09-11,0
ATT-3DEAC746,STU-B1E84D,2025-09-18,1
ATT-F9B6212E,STU-B1E84D,2025-09-25,1
ATT-897BB8AF,STU-B1E84D,2025-10-02,0
ATT-5CCC5F67,STU-B1E84D,2025-10-09,1
ATT-51B94E08,STU-B1E84D,2025-10-16,1
ATT-88722007,STU-B1E84D,2025-10-23,1
ATT-8347B635,STU-B1E84D,2025-10-30,1
ATT-538F47EC,STU-B1E84D,2025-11-06,1
ATT-4771023A,STU-B1E84D,2025-11-13,0
ATT-0AF313C5,STU-B1E84D,2025-11-20,1
ATT-663BFA31,STU-B1E84D,2025-11-27,1
ATT-70D4E018,STU-996F09,2025-06-02,1
ATT-43AA0C83,STU-996F09,2025-06-09,1
ATT-42C502C9,STU-996F09,2025-06-16,1
ATT-0E23BF43,STU-996F09,2025-06-23,1
ATT-8B8A8118,STU-996F09,2025-06-30,1
ATT-F3073871,STU-996F09,2025-07-07,1
ATT-B827116E,STU-996F09,2025-07-14,1
ATT-10679E55,STU-996F09,2025-07-21,1
ATT-39199500,STU-996F09,2025-07-28,1
ATT-2754D333,STU-996F09,2025-08-04,1
ATT-CCB806BE,STU-996F09,2025-08-11,1
ATT-3786DB4B,STU-996F09,2025-08-18,1
ATT-48A333A0,STU-996F09,2025-08-25,1
ATT-81F5EA86,STU-996F09,2025-09-01,1
ATT-9BDABAAD,STU-996F09,2025-09-08,1
ATT-1C27D618,STU-996F09,2025-09-15,1
ATT-F13C62AF,STU-996F09,2025-09-22,0
ATT-CC25EDD1,STU-996F09,2025-09-29,1
ATT-2E4F42B4,STU-996F09,2025-10-06,0
ATT-71F017D7,STU-996F09,2025-10-13,1
ATT-0A48AA81,STU-996F09,2025-10-20,1
ATT-D9A5633F,STU-996F09,2025-10-27,1
ATT-1948E1C7,STU-996F09,2025-11-03,0
ATT-D25D6BC2,STU-996F09,2025-11-10,1
ATT-3D1578FA,STU-996F09,2025-11-17,1
ATT-28676C69,STU-996F09,2025-11-24,0
ATT-D6F838AB,STU-996F09,2025-12-01,1
ATT-D61DB4DC,STU-996F09,2025-06-05,1
ATT-7B841FED,STU-996F09,2025-06-12,1
ATT-B0D00431,STU-996F09,2025-06-19,0
ATT-98D4BC0F,STU-996F09,2025-06-26,1
ATT-B73CEBF1,STU-996F09,2025-07-03,1
ATT-F90A1663,STU-996F09,2025-07-10,1
ATT-B9E2A7A2,STU-996F09,2025-07-17,0
ATT-907B3379,STU-996F09,2025-07-24,0
ATT-247C5833,STU-996F09,2025-07-31,1
ATT-35CCE36C,STU-996F09,2025-08-07,1
ATT-6419264D,STU-996F09,2025-08-14,1
ATT-1A8FAE41,STU-996F09,2025-08-21,0
ATT-2DD94D0C,STU-996F09,2025-08-28,1
ATT-0D8FF96C,STU-996F09,2025-09-04,0
ATT-1E1B3659,STU-996F09,2025-09-11,0
ATT-A0282B9D,STU-996F09,2025-09-18,1
ATT-0173FBA0,STU-996F09,2025-09-25,0
ATT-0548E6EF,STU-996F09,2025-10-02,1
ATT-E527DE32,STU-996F09,2025-10-09,1
ATT-C2DFDB6B,STU-996F09,2025-10-16,1
ATT-6A7B5EA8,STU-996F09,2025-10-23,1
ATT-CB476024,STU-996F09,2025-10-30,1
ATT-F577C9CC,STU-996F09,2025-11-06,0
ATT-F65DCBEF,STU-996F09,2025-11-13,0
ATT-8A28A459,STU-996F09,2025-11-20,1
ATT-D2883E0B,STU-996F09,2025-11-27,0
ATT-51FF3038,STU-0C034D,2025-06-02,1
ATT-E8CDC918,STU-0C034D,2025-06-09,1
ATT-6974A90D,STU-0C034D,2025-06-16,1
ATT-D76E9E69,STU-0C034D,2025-06-23,1
ATT-4F397EF2,STU-0C034D,2025-06-30,0
ATT-0CA84466,STU-0C034D,2025-07-07,1
ATT-9D54D6CB,STU-0C034D,2025-07-14,1
ATT-EC76F4B0,STU-0C034D,2025-07-21,1
ATT-B1AF8BAC,STU-0C034D,2025-07-28,1
ATT-A1143928,STU-0C034D,2025-08-04,1
ATT-250AB996,STU-0C034D,2025-08-11,1
ATT-772C967A,STU-0C034D,2025-08-18,1
ATT-E4995C5F,STU-0C034D,2025-08-25,1
ATT-D56820B9,STU-0C034D,2025-09-01,1
ATT-C9ABB1A9,STU-0C034D,2025-09-08,0
ATT-37359B8C,STU-0C034D,2025-09-15,0
ATT-F7D5B463,STU-0C034D,2025-09-22,0
ATT-8B177974,STU-0C034D,2025-09-29,0
ATT-CD88CC98,STU-0C034D,2025-10-06,1
ATT-5858BCEC,STU-0C034D,2025-10-13,1
ATT-BF662C48,STU-0C034D,2025-10-20,1
ATT-849DAE03,STU-0C034D,2025-10-27,1
ATT-5A7AA6EC,STU-0C034D,2025-11-03,1
ATT-FBDC494A,STU-0C034D,2025-11-10,0
ATT-44A89520,STU-0C034D,2025-11-17,1
ATT-DE6B4D4A,STU-0C034D,2025-11-24,0
ATT-BE8492F6,STU-0C034D,2025-12-01,1
ATT-7C01D8AC,STU-0C034D,2025-06-05,1
ATT-BC967C3D,STU-0C034D,2025-06-12,0
ATT-300601B7,STU-0C034D,2025-06-19,1
ATT-5EC39CB0,STU-0C034D,2025-06-26,1
ATT-38863F98,STU-0C034D,2025-07-03,1
ATT-504369DB,STU-0C034D,2025-07-10,1
ATT-449E45B8,STU-0C034D,2025-07-17,1
ATT-F4F1AEAA,STU-0C034D,2025-07-24,0
ATT-A4B6B549,STU-0C034D,2025-07-31,1
ATT-AA5ACFF3,STU-0C034D,2025-08-07,1
ATT-98CAD39C,STU-0C034D,2025-08-14,1
ATT-58EB1DBB,STU-0C034D,2025-08-21,1
ATT-6A8EAA2C,STU-0C034D,2025-08-28,1
ATT-85C23059,STU-0C034D,2025-09-04,1
ATT-5EEAC54D,STU-0C034D,2025-09-11,1
ATT-87D915D8,STU-0C034D,2025-09-18,1
ATT-529EA036,STU-0C034D,2025-09-25,1
ATT-B2A8A03E,STU-0C034D,2025-10-02,0
ATT-8C6CA2FE,STU-0C034D,2025-10-09,1
ATT-D13ADDA5,STU-0C034D,2025-10-16,1
ATT-CD5F4170,STU-0C034D,2025-10-23,1
ATT-4BEA2953,STU-0C034D,2025-10-30,1
ATT-E058F0DF,STU-0C034D,2025-11-06,1
ATT-A59E332A,STU-0C034D,2025-11-13,1
ATT-10EB8F4F,STU-0C034D,2025-11-20,1
ATT-5C63EB58,STU-0C034D,2025-11-27,0
ATT-0C48B26B,STU-D87513,2025-06-02,1
ATT-D98FDD53,STU-D87513,2025-06-09,0
ATT-13057FFD,STU-D87513,2025-06-16,1
ATT-7B860762,STU-D87513,2025-06-23,1
ATT-1E7C233E,STU-D87513,2025-06-30,1
ATT-AC26C560,STU-D87513,2025-07-07,1
ATT-0AFCD300,STU-D87513,2025-07-14,1
ATT-B0D6DFA2,STU-D87513,2025-07-21,0
ATT-94209B72,STU-D87513,2025-07-28,0
ATT-0B8A2E78,STU-D87513,2025-08-04,1
ATT-41034CE9,STU-D87513,2025-08-11,0
ATT-86974134,STU-D87513,2025-08-18,1
ATT-2C75D9B4,STU-D87513,2025-08-25,1
ATT-DBAC401B,STU-D87513,2025-09-01,1
ATT-B7D48D1F,STU-D87513,2025-09-08,0
ATT-7F51D6C1,STU-D87513,2025-09-15,0
ATT-28EBB602,STU-D87513,2025-09-22,1
ATT-B68EA2F2,STU-D87513,2025-09-29,1
ATT-3360404C,STU-D87513,2025-10-06,1
ATT-C40B2A0C,STU-D87513,2025-10-13,1
ATT-77F02314,STU-D87513,2025-10-20,1
ATT-4FC9DB87,STU-D87513,2025-10-27,1
ATT-885CF492,STU-D87513,2025-11-03,1
ATT-E9686007,STU-D87513,2025-11-10,1
ATT-8BA5FE2C,STU-D87513,2025-11-17,1
ATT-68C46064,STU-D87513,2025-11-24,1
ATT-0BC7A251,STU-D87513,2025-12-01,0
ATT-9702624A,STU-D87513,2025-06-05,0
ATT-5676849F,STU-D87513,2025-06-12,1
ATT-79D6CAC4,STU-D87513,2025-06-19,0
ATT-59611AA2,STU-D87513,2025-06-26,0
ATT-366FAE55,STU-D87513,2025-07-03,1
ATT-0C0E63F4,STU-D87513,2025-07-10,1
ATT-8D2B228F,STU-D87513,2025-07-17,1
ATT-8A59E548,STU-D87513,2025-07-24,1
ATT-D9C6E1D1,STU-D87513,2025-07-31,1
ATT-2B9B7EDB,STU-D87513,2025-08-07,0
ATT-849BE1A4,STU-D87513,2025-08-14,1
ATT-A8773AA0,STU-D87513,2025-08-21,0
ATT-CC3C0A86,STU-D87513,2025-08-28,0
ATT-243ED456,STU-D87513,2025-09-04,1
ATT-3B8E44D0,STU-D87513,2025-09-11,1
ATT-A2321F87,STU-D87513,2025-09-18,1
ATT-5AA2237C,STU-D87513,2025-09-25,1
ATT-B516289C,STU-D87513,2025-10-02,1
ATT-01544412,STU-D87513,2025-10-09,1
ATT-1D85DCAF,STU-D87513,2025-10-16,1
ATT-FB48ACF0,STU-D87513,2025-10-23,1
ATT-DFA98350,STU-D87513,2025-10-30,1
ATT-3CEF175A,STU-D87513,2025-11-06,1
ATT-B9BC9097,STU-D87513,2025-11-13,1
ATT-33C91172,STU-D87513,2025-11-20,0
ATT-A028FCD2,STU-D87513,2025-11-27,1
ATT-47364849,STU-326452,2025-06-02,1
ATT-38FB69D1,STU-326452,2025-06-09,0
ATT-B58D4B06,STU-326452,2025-06-16,0
ATT-06C8D3E5,STU-326452,2025-06-23,0
ATT-CCCEE0B7,STU-326452,2025-06-30,0
ATT-11963EFD,STU-326452,2025-07-07,0
ATT-D9A1AE75,STU-326452,2025-07-14,1
ATT-AD76801C,STU-326452,2025-07-21,1
ATT-6939A668,STU-326452,2025-07-28,1
ATT-8861B0B4,STU-326452,2025-08-04,1
ATT-42B71B8F,STU-326452,2025-08-11,0
ATT-7A748EE4,STU-326452,2025-08-18,1
ATT-2A14C8D8,STU-326452,2025-08-25,1
ATT-9C3D8C63,STU-326452,2025-09-01,1
ATT-45DD6C6F,STU-326452,2025-09-08,1
ATT-134458E7,STU-326452,2025-09-15,1
ATT-DBCC80DA,STU-326452,2025-09-22,1
ATT-24B25E4F,STU-326452,2025-09-29,0
ATT-F0BE0842,STU-326452,2025-10-06,1
ATT-FCA344A8,STU-326452,2025-10-13,1
ATT-B97ED723,STU-326452,2025-10-20,0
ATT-A15217FC,STU-326452,2025-10-27,0
ATT-0360446A,STU-326452,2025-11-03,0
ATT-A11D08BC,STU-326452,2025-11-10,1
ATT-11DF9A1B,STU-326452,2025-11-17,1
ATT-0A4C4D7C,STU-326452,2025-11-24,1
ATT-C414E15B,STU-326452,2025-12-01,1
ATT-32B767C1,STU-326452,2025-06-05,1
ATT-05AC783E,STU-326452,2025-06-12,1
ATT-894F4C0F,STU-326452,2025-06-19,1
ATT-EE0D8B2B,STU-326452,2025-06-26,1
ATT-391579F4,STU-326452,2025-07-03,1
ATT-DEDE8C96,STU-326452,2025-07-10,1
ATT-EF2FD6E3,STU-326452,2025-07-17,1
ATT-4A39DA80,STU-326452,2025-07-24,1
ATT-A40BD0B3,STU-326452,2025-07-31,0
ATT-08CE289C,STU-326452,2025-08-07,1
ATT-63CE5711,STU-326452,2025-08-14,0
ATT-4888EEA1,STU-326452,2025-08-21,1
ATT-319EB75E,STU-326452,2025-08-28,0
ATT-4545DCDD,STU-326452,2025-09-04,1
ATT-CDB1F930,STU-326452,2025-09-11,1
ATT-04DF976E,STU-326452,2025-09-18,0
ATT-817348B4,STU-326452,2025-09-25,0
ATT-41DA4FB8,STU-326452,2025-10-02,0
ATT-56A369D9,STU-326452,2025-10-09,1
ATT-5B93497F,STU-326452,2025-10-16,1
ATT-5649AC66,STU-326452,2025-10-23,0
ATT-52D17666,STU-326452,2025-10-30,1
ATT-1FA411B5,STU-326452,2025-11-06,1
ATT-AD8A479B,STU-326452,2025-11-13,0
ATT-C2E5CC51,STU-326452,2025-11-20,1
ATT-DF895DAA,STU-326452,2025-11-27,1
ATT-6326EBDE,STU-C0D7E4,2025-06-02,1
ATT-444E9AE0,STU-C0D7E4,2025-06-09,1
ATT-416A482E,STU-C0D7E4,2025-06-16,1
ATT-47B19C51,STU-C0D7E4,2025-06-23,1
ATT-632C924B,STU-C0D7E4,2025-06-30,1
ATT-A8169BA7,STU-C0D7E4,2025-07-07,1
ATT-41754956,STU-C0D7E4,2025-07-14,0
ATT-72C4CE28,STU-C0D7E4,2025-07-21,1
ATT-6DD2EE3C,STU-C0D7E4,2025-07-28,0
ATT-6AE0948B,STU-C0D7E4,2025-08-04,1
ATT-AB391472,STU-C0D7E4,2025-08-11,1
ATT-A0C61FC9,STU-C0D7E4,2025-08-18,1
ATT-AE6ACA61,STU-C0D7E4,2025-08-25,0
ATT-0C4D27E8,STU-C0D7E4,2025-09-01,1
ATT-2372C19C,STU-C0D7E4,2025-09-08,1
ATT-9B56B2DC,STU-C0D7E4,2025-09-15,1
ATT-1455540A,STU-C0D7E4,2025-09-22,0
ATT-D8A59B84,STU-C0D7E4,2025-09-29,1
ATT-10270684,STU-C0D7E4,2025-10-06,1
ATT-A79D656C,STU-C0D7E4,2025-10-13,0
ATT-483F0DC8,STU-C0D7E4,2025-10-20,0
ATT-DDC7179E,STU-C0D7E4,2025-10-27,1
ATT-D17476C2,STU-C0D7E4,2025-11-03,0
ATT-6D9CCF5B,STU-C0D7E4,2025-11-10,1
ATT-3E861A98,STU-C0D7E4,2025-11-17,1
ATT-E6EA37F2,STU-C0D7E4,2025-11-24,1
ATT-69F0A615,STU-C0D7E4,2025-12-01,1
ATT-C6C64173,STU-C0D7E4,2025-06-05,0
ATT-4CC48A19,STU-C0D7E4,2025-06-12,1
ATT-6DE62274,STU-C0D7E4,2025-06-19,0
ATT-7268273C,STU-C0D7E4,2025-06-26,1
ATT-7ACC6A4A,STU-C0D7E4,2025-07-03,1
ATT-B4ADD9DD,STU-C0D7E4,2025-07-10,0
ATT-83F5E2C3,STU-C0D7E4,2025-07-17,0
ATT-600C21BC,STU-C0D7E4,2025-07-24,1
ATT-8D8821E0,STU-C0D7E4,2025-07-31,1
ATT-5C1A0ACB,STU-C0D7E4,2025-08-07,1
ATT-2E9E30EE,STU-C0D7E4,2025-08-14,1
ATT-93EFC9E2,STU-C0D7E4,2025-08-21,0
ATT-BFD74DDB,STU-C0D7E4,2025-08-28,1
ATT-688D0619,STU-C0D7E4,2025-09-04,0
ATT-9C6C80B4,STU-C0D7E4,2025-09-11,1
ATT-D55431FD,STU-C0D7E4,2025-09-18,0
ATT-F0E01204,STU-C0D7E4,2025-09-25,0
ATT-5B047C41,STU-C0D7E4,2025-10-02,1
ATT-BCA31723,STU-C0D7E4,2025-10-09,1
ATT-98952F22,STU-C0D7E4,2025-10-16,1
ATT-E5340872,STU-C0D7E4,2025-10-23,1
ATT-BFDCD5F5,STU-C0D7E4,2025-10-30,1
ATT-BCC3CA9A,STU-C0D7E4,2025-11-06,0
ATT-FC1929F9,STU-C0D7E4,2025-11-13,1
ATT-7EBDF3C6,STU-C0D7E4,2025-11-20,1
ATT-CF56DA12,STU-C0D7E4,2025-11-27,1
ATT-8403C60A,STU-8CC5F0,2025-06-02,0
ATT-0741C2FE,STU-8CC5F0,2025-06-09,1
ATT-A5413533,STU-8CC5F0,2025-06-16,0
ATT-FBF6902C,STU-8CC5F0,2025-06-23,1
ATT-EFAA5B6C,STU-8CC5F0,2025-06-30,1
ATT-8B135EB7,STU-8CC5F0,2025-07-07,0
ATT-8080717B,STU-8CC5F0,2025-07-14,1
ATT-43A7E05A,STU-8CC5F0,2025-07-21,0
ATT-BA05C2E8,STU-8CC5F0,2025-07-28,0
ATT-67B2FC1F,STU-8CC5F0,2025-08-04,0
ATT-808A59B2,STU-8CC5F0,2025-08-11,1
ATT-FEE6EF2E,STU-8CC5F0,2025-08-18,0
ATT-B8938A46,STU-8CC5F0,2025-08-25,1
ATT-D371A97B,STU-8CC5F0,2025-09-01,0
ATT-6F7E544B,STU-8CC5F0,2025-09-08,1
ATT-C3515D6B,STU-8CC5F0,2025-09-15,1
ATT-68E37638,STU-8CC5F0,2025-09-22,0
ATT-71783C4B,STU-8CC5F0,2025-09-29,1
ATT-579EE8BE,STU-8CC5F0,2025-10-06,1
ATT-1887684B,STU-8CC5F0,2025-10-13,0
ATT-CA2D81B4,STU-8CC5F0,2025-10-20,1
ATT-C84FA43C,STU-8CC5F0,2025-10-27,1
ATT-37FCCCDE,STU-8CC5F0,2025-11-03,0
ATT-0F076C56,STU-8CC5F0,2025-11-10,1
